keys,en,ja
CARD_EBP01-001_NAME,Godzilla(1954),ゴジラ(1954)
CARD_EBP01-001_DESC,"At the beginning of your counter phase, send the top card of your deck to your discard pile.
If it is a monster card, increase this card's <Rage> by 1.",あなたの撃退フェイズ開始時、あなたの山札を上から１枚捨て札にする。それが怪獣カードなら、これの<怒り>を１増やす。
CARD_EBP01-002_NAME,Godzilla(1954),ゴジラ(1954)
CARD_EBP01-002_DESC,"<Burst1> (You can play this card from rank I. If you do, send this card to your discard pile at the beginning of your next end phase.)
<When Invading> Send the top card of your deck to your discard pile. If it is a monster card, <Destroy> 1 of your opponent's rank 5 or lower battle cards.","<強襲Ⅰ>（これは等級Ⅰから出現できる。そうしたら、次のあなたのエンドフェイズ開始時にこのカード１枚を捨て札にする）
<進攻時>あなたの山札を上から１枚捨て札にする。それが怪獣カードなら、相手の等級５以下の交戦カードを１枚<破壊>する。"
CARD_EBP01-003_NAME,Godzilla(1954),ゴジラ(1954)
CARD_EBP01-003_DESC,"Whenever this card's <Rage> is increased, send the top card of your deck to your discard pile. If it is a monster card, <Destroy> 1 of your opponent's rank 6 or lower battle cards.",これの<怒り>が増えるたび、あなたの山札を上から１枚捨て札にする。それが怪獣カードなら、相手の等級６以下の交戦カードを１枚<破壊>する。
CARD_EBP01-004_NAME,Godzilla(1954),ゴジラ(1954)
CARD_EBP01-004_DESC,"<Burst3> (You can play this card from rank III. If you do, send this card to your discard pile at the beginning of your next end phase.)
When this card reaches zone 8, <Destroy> all battle cards in each player's zones.","<強襲Ⅲ>（これは等級Ⅲから出現できる。そうしたら、次のあなたのエンドフェイズ開始時にこのカード１枚を捨て札にする）
これがエリア８に到達した時、各プレイヤーの交戦カードをすべて<破壊>する。（進攻の場合、前進をすべて終えてから発動）"
CARD_EBP01-005_NAME,Godzilla(1955),ゴジラ(1955)
CARD_EBP01-005_DESC,"<Burst3> (You can play this card from rank III. If you do, send this card to your discard pile at the beginning of your next end phase.)
<Enter> Your opponent discards cards until they have 4 cards remaining in their hand.","<強襲Ⅲ>（これは等級Ⅲから出現できる。そうしたら、次のあなたのエンドフェイズ開始時にこのカード１枚を捨て札にする）
<出現時>相手は自分の手札を４枚になるよう捨てる。"
CARD_EBP01-006_NAME,Godzilla(1974),ゴジラ(1974)
CARD_EBP01-006_DESC,"<Opponent's Turn> At the beginning of the counter phase, <Destroy> all of your opponent's rank 5 or lower battle cards in the same column as this card.",<相手のターン中>撃退フェイズ開始時、これと同じ縦列にいる相手の等級５以下の交戦カードをすべて<破壊>する。
CARD_EBP01-007_NAME,Godzilla(1975),ゴジラ(1975)
CARD_EBP01-007_DESC,"<Burst3> (You can play this card from rank III. If you do, send this card to your discard pile at the beginning of your next end phase.)
<When Invading> When this card <Destroy> your battle cards, reduce your opponent's <Rage> by 2.","<強襲Ⅲ>（これは等級Ⅲから出現できる。そうしたら、次のあなたのエンドフェイズ開始時にこのカード１枚を捨て札にする）
<進攻時>これがあなたの交戦カードを<破壊>した時、相手の<怒り>を２減らす。"
CARD_EBP01-008_NAME,Godzilla(2004),ゴジラ(2004)
CARD_EBP01-008_DESC,"<Burst2> (You can play this card from rank II. If you do, send this card to your discard pile at the beginning of your next end phase.)
<Enter> Advance your opponent's monster card by 1 zone.","<強襲Ⅱ>（これは等級Ⅱから出現できる。そうしたら、次のあなたのエンドフェイズ開始時にこのカード１枚を捨て札にする）
<出現時>相手の怪獣カードを１エリア前進させる。"
CARD_EBP01-009_NAME,Godzilla(2023),ゴジラ(2023)
CARD_EBP01-009_DESC,"<Burst2> (You can play this card from rank II. If you do, send this card to your discard pile at the beginning of your next end phase.)
<When Invading> If this card has 2 or more <Rage> , <Destroy> 1 of your opponent's rank 6 or lower battle cards.","<強襲Ⅱ>（これは等級Ⅱから出現できる。そうしたら、次のあなたのエンドフェイズ開始時にこのカード１枚を捨て札にする）
<進攻時>これの<怒り>が２以上なら、相手の等級６以下の交戦カードを１枚<破壊>する。"
CARD_EBP01-010_NAME,Godzilla(2023),ゴジラ(2023)
CARD_EBP01-010_DESC,"Whenever this card's <Rage> is increased, <Destroy> all of your opponent's battle cards in the same column as this card.
<Opponent's Turn> At the beginning of the counter phase, if this card has 3 or more <Rage> , <Destroy> all of your opponent's battle cards in the same column as this card.","これの<怒り>が増えるたび、これと同じ縦列にいる相手の交戦カードをすべて<破壊>する。
<相手のターン中>撃退フェイズ開始時、これの<怒り>が３以上なら、これと同じ縦列にいる相手の交戦カードをすべて<破壊>する。"
CARD_EBP01-011_NAME,Godzilla(Fest Godzilla),ゴジラ(フェス・ゴジラ)
CARD_EBP01-011_DESC,"When this card advances into the same column as your opponent's monster card, advance your opponent's monster card by 1 zone.",これが相手の怪獣カードと同じ縦列に前進した時、相手の怪獣カードを１エリア前進させる。
CARD_EBP01-012_NAME,Godzilla(Fest Godzilla),ゴジラ(フェス・ゴジラ)
CARD_EBP01-012_DESC,"At the beginning of your end phase, if this card invaded this turn, advance your opponent's monster card by 1 zone.",あなたのエンドフェイズ開始時、これがこのターン進攻していたら、相手の怪獣カードを１エリア前進させる。
CARD_EBP01-013_NAME,Godzilla(Fest Godzilla),ゴジラ(フェス・ゴジラ)
CARD_EBP01-013_DESC,"<Burst2> (You can play this card from rank II. If you do, send this card to your discard pile at the beginning of your next end phase.)
<Enter> If you have 4 or more battle cards in your zones, reduce your opponent's <Rage> by 1.","<強襲Ⅱ>（これは等級Ⅱから出現できる。そうしたら、次のあなたのエンドフェイズ開始時にこのカード１枚を捨て札にする）
<出現時>あなたのエリアに交戦カードが４枚以上いるなら、相手の<怒り>を１減らす。"
CARD_EBP01-014_NAME,Godzilla(Fest Godzilla),ゴジラ(フェス・ゴジラ)
CARD_EBP01-014_DESC,"<Opponent's Turn> <Awakening4> If you have 2 or more battle cards in your zones, all of your opponent's rank 5 or lower battle cards cannot engage with this card. (Their counter power is not included in the total counter power during the counter phase.)",<相手のターン中><覚醒４>あなたのエリアに交戦カードが２枚以上いるなら、相手の等級５以下の交戦カードすべては、これと戦闘できない。（撃退フェイズにそれらの撃退力は合計されない）
CARD_EBP01-015_NAME,Godzilla(Fest Godzilla),ゴジラ(フェス・ゴジラ)
CARD_EBP01-015_DESC,"<Your Turn> <Enter> Reveal the top 5 cards of your deck and send them to your discard pile. For each monster card revealed this way, increase this card's <Rage> by 1. If a card with <Step2> is revealed this way, this card advances to zone 6.",<あなたのターン中><出現時>あなたの山札を上から５枚公開して捨て札にする。公開した怪獣カード１枚につき、これの<怒り>を１増やす。<足２>を公開したら、これをエリア６まで前進させる。
CARD_EBP01-016_NAME,Ebirah(2004),エビラ(2004)
CARD_EBP01-016_DESC,,
CARD_EBP01-017_NAME,Kumonga(2004),クモンガ(2004)
CARD_EBP01-017_DESC,"If this card is in zone 8, this card gains +3000 counter power.",これがエリア８にいるなら、撃退力＋3000。
CARD_EBP01-018_NAME,Mechagodzilla(1974),メカゴジラ(1974)
CARD_EBP01-018_DESC,<Awakening4> This card gains +3000 counter power. (Active if your monster card is in zone 4 or beyond.),<覚醒４>これの撃退力＋3000。（あなたの怪獣カードがエリア４以降にいるなら有効）
CARD_EBP01-019_NAME,Kamacuras(1967),カマキラス(1967)
CARD_EBP01-019_DESC,"<Awakening6> <Enter> If this card was played from your hand, search your deck for up to 2 <ãKamacurasã> battle cards, play them, then shuffle your deck. (Active if your monster card is in zone 6 or beyond.)",<覚醒６><出現時>手札から出現したら、あなたの山札から<《カマキラス》>を持つ交戦カードを２枚まで探して出現させ、山札をシャッフルする。（あなたの怪獣カードがエリア６以降にいるなら有効）
CARD_EBP01-020_NAME,Anguirus(1968),アンギラス(1968)
CARD_EBP01-020_DESC,"If this card is in zone 8, whenever your monster card invades, you may reduce its <Rage> by 1 to search your deck for up to 1 monster card with <Burst> , reveal it, add it to your hand, then shuffle your deck.",あなたの怪獣カードが進攻するたび、それの<怒り>を１減らすことで、これがエリア８にいるなら、あなたの山札から<強襲>を持つ怪獣カードを１枚まで探して公開し、手札に加え、山札をシャッフルする。
CARD_EBP01-021_NAME,Rodan(1968),ラドン(1968)
CARD_EBP01-021_DESC,"<Enter> If this card is in the same column as your opponent's monster card, look at the top 2 cards of your deck, put any number on top of your deck in any order, and send the rest to your discard pile.",<出現時>これが相手の怪獣カードと同じ縦列にいるなら、あなたの山札を上から２枚見て、望む枚数山札の上に好きな順で置き、残りを捨て札にする。
CARD_EBP01-022_NAME,Titanosaurus,チタノザウルス
CARD_EBP01-022_DESC,"<Your Turn> Whenever your monster card's <Rage> is increased, you may move 1 of your other battle cards in your zones to an unoccupied zone.",<あなたのターン中>あなたの怪獣カードの<怒り>が増えるたび、あなたのエリアにいる他の交戦カードを１枚、空いているエリアに移動させてよい。
CARD_EBP01-023_NAME,Mechagodzilla(1975),メカゴジラ(1975)
CARD_EBP01-023_DESC,"If your monster card has 2 or more <Rage> , this card gains +3000 counter power.",あなたの怪獣カードの<怒り>が２以上なら、これの撃退力＋3000。
CARD_EBP01-024_NAME,Minilla(2004),ミニラ(2004)
CARD_EBP01-024_DESC,<Enter> Reduce your opponent's <Rage> by 1.,<出現時>相手の<怒り>を１減らす。
CARD_EBP01-025_NAME,King Caesar(1974),キングシーサー(1974)
CARD_EBP01-025_DESC,"If this card is in a zone adjacent to your monster card, this card gains +3000 counter power.",これがあなたの怪獣カードの隣接エリアにいるなら、撃退力＋3000。
CARD_EBP01-026_NAME,Jet Jaguar(2023),ジェットジャガー(2023)
CARD_EBP01-026_DESC,"At the beginning of your counter phase, you may place 1 card with both <ãGiganã> and <ãFestã> from your discard pile under this card.
If there is a card under this card, this card gains +5000 counter power.","あなたの撃退フェイズ開始時、あなたの捨て札から<《ガイガン》>と<《フェス・ゴジラ》>を両方持つカードを１枚、これの下に重ねてよい。
これの下にカードがあるなら、撃退力＋5000。"
CARD_EBP01-027_NAME,Hedorah(1971),ヘドラ(1971)
CARD_EBP01-027_DESC,"When playing this card from your hand, you can reduce its rank by 1 for each battle card in your zones. (After being played this card is rank 8)",あなたのエリアにいる交戦カード１枚につき、等級を－１して手札から出現できる。（出現後は等級８）
CARD_EBP01-028_NAME,Godzilla vs. Mechagodzilla,ゴジラ対メカゴジラ
CARD_EBP01-028_DESC,<Opponent's Turn> All of your opponent's rank 3 or lower battle cards cannot engage with your monster card. (Their counter power is not included in the total during the counter phase.),<相手のターン中>相手の等級３以下の交戦カードすべては、あなたの怪獣カードと戦闘できない。（撃退フェイズにそれらの撃退力は合計されない）
CARD_EBP01-029_NAME,Unthinkable Destruction,信じられない光景
CARD_EBP01-029_DESC,Choose 1 of your opponent's zones. <Destroy> all of your opponent's rank 5 or lower battle cards in that zone and zones adjacent to it.,相手のエリア１つを指定し、そのエリアおよび隣接エリアにいる相手の等級５以下の交戦カードをすべて<破壊>する。
CARD_EBP01-030_NAME,Godzilla Landing,ゴジラ上陸
CARD_EBP01-030_DESC,Advance the opponent's monster card by 1 zone.,相手の怪獣カードを１エリア前進させる。
CARD_EBP01-031_NAME,Space Beam,スペースビーム
CARD_EBP01-031_DESC,"If your monster card has 2 or more <Rage> , your opponent discards cards until they have 2 cards remaining in their hand.",あなたの怪獣カードの<怒り>が２以上なら、相手は自分の手札を２枚になるよう捨てる。
CARD_EBP01-032_NAME,Heat Ray Charge,熱線準備
CARD_EBP01-032_DESC,Draw 2 cards.,あなたは２枚引く。
CARD_EBP01-033_NAME,Final Showdown,決着
CARD_EBP01-033_DESC,"You can play this card from your hand with its rank reduced by 1 for each zone your monster card invaded this turn.
<Destroy> all battle cards of both players.","このターンあなたの怪獣カードが進攻したエリア１つにつき、等級を－１して手札から発動できる。
各プレイヤーの交戦カードをすべて<破壊>する。"
CARD_EBP01-034_NAME,Godzilla(1989),ゴジラ(1989)
CARD_EBP01-034_DESC,<Enter> Select 1 rank 4 or lower battle card with <Evolution> from your discard pile and play it in a zone adjacent to this card.,<出現時>あなたの捨て札から<進化>を持つ等級４以下の交戦カードを１枚、これの隣接エリア１つに出現させる。
CARD_EBP01-035_NAME,Godzilla(1989),ゴジラ(1989)
CARD_EBP01-035_DESC,<Enter> Evolve all of your rank 4 or lower battle cards with <Evolution> in zones adjacent to this card.,<出現時>これの隣接エリアにいるあなたの<進化>を持つ等級４以下の交戦カードをすべて進化させる。
CARD_EBP01-036_NAME,Godzilla(1992),ゴジラ(1992)
CARD_EBP01-036_DESC,<Enter> Evolve all of your battle cards with <Evolution> in zones adjacent to this card.,<出現時>これの隣接エリアにいるあなたの<進化>を持つ交戦カードをすべて進化させる。
CARD_EBP01-037_NAME,Godzilla(1995),ゴジラ(1995)
CARD_EBP01-037_DESC,"Whenever this card advances, you may discard 1 strategy card from your hand to increase its <Rage> by 1.",これが前進するたび、あなたの手札の戦略カードを１枚捨てることで、これの<怒り>を１増やす。
CARD_EBP01-038_NAME,Godzilla(1995),ゴジラ(1995)
CARD_EBP01-038_DESC,"<Opponent's Turn> <Awakening6> This card cannot be countered by 50,000 or lower counter power, instead, it only moves as though it were countered. (Do not play the next monster card from your monster deck.) (Active if this card is in zone 6 or beyond, and the opponent's total counter power is 50,000 or lower.)",<相手のターン中><覚醒６>これは撃退力50000以下では撃退されず、その際に撃退されたかのように移動のみ行う。（これがエリア６以降にいて相手の撃退力が合計50000以下なら有効）
CARD_EBP01-039_NAME,Godzilla(1999),ゴジラ(1999)
CARD_EBP01-039_DESC,<When Invading> Discard 1 monster card from your handï¼ <Destroy> all of your opponent's rank 5 or lower battle cards in zones 1-5.,<進攻時>あなたの手札の怪獣カードを１枚捨てることで、相手のエリア１～５にいる等級５以下の交戦カードをすべて<破壊>する。
CARD_EBP01-040_NAME,Godzilla(1999),ゴジラ(1999)
CARD_EBP01-040_DESC,"<Enter> <Destroy> 1 of your opponent's rank 7 or lower battle cards.
<When Invading> If you have 5 or more monster cards in your discard pile, increase this card's <Rage> by 1.","<出現時>相手の等級７以下の交戦カードを１枚<破壊>する。
<進攻時>あなたの捨て札の怪獣カードが５枚以上なら、これの<怒り>を１増やす。"
CARD_EBP01-041_NAME,Godzilla(2000),ゴジラ(2000)
CARD_EBP01-041_DESC,<When Invading> <Destroy> 1 of your opponent's rank 4 or lower battle cards.,<進攻時>相手の等級４以下の交戦カードを１枚<破壊>する。
CARD_EBP01-042_NAME,Godzilla(2000),ゴジラ(2000)
CARD_EBP01-042_DESC,"<Enter> If you have 5 or more monster cards in your discard pile, you may discard 1 card from your hand to reduce your opponent's <Rage> by 1.
If you have 5 or more monster cards in your discard pile, this card gains +10,000 threat level.","<出現時>あなたの捨て札の怪獣カードが５枚以上なら、あなたの手札を１枚捨てることで、相手の<怒り>を１減らす。
あなたの捨て札の怪獣カードが５枚以上なら、これの脅威度＋10000。"
CARD_EBP01-043_NAME,Godzilla(2000),ゴジラ(2000)
CARD_EBP01-043_DESC,"<Awakening4> When you successfully counter your opponent's monster card, if you have 5 or more monster cards in your discard pile, <Destroy> all of your opponent's rank 6 or lower battle cards. (Active if this card is in zone 4 or beyond.)",<覚醒４>あなたが相手の怪獣カードを撃退した時、あなたの捨て札の怪獣カードが５枚以上なら、相手の等級６以下の交戦カードをすべて<破壊>する。（これがエリア４以降にいるなら有効）
CARD_EBP01-044_NAME,Mothra(egg)(1992),モスラの卵(1992)
CARD_EBP01-044_DESC,"<Evolution5> <ãMothraã> (At the beginning of your main phase, you may play a rank 5 or lower <ãMothraã> battle card from your deck by placing it on top of this card.)",<進化５><《モスラ》>（あなたのメインフェイズ開始時、山札から<《モスラ》>を持つ等級５以下の交戦カードをこれの上に重ねて出現させてよい）
CARD_EBP01-045_NAME,Meganula,メガニューラ
CARD_EBP01-045_DESC,"<Enter> If this card is in the same column as your opponent's monster card and you have 2 or more battle cards in your zones, reduce your opponent's <Rage> by 1.",<出現時>これが相手の怪獣カードと同じ縦列にいて、あなたのエリアに他の交戦カードが２枚以上いるなら、相手の<怒り>を１減らす。
CARD_EBP01-046_NAME,MBT-MB92,92式メーサービーム戦車
CARD_EBP01-046_DESC,"You may have any number of this card in your deck.
<Awakening6> This card gains +3000 counter power. (Active if your monster card is in zone 6 or beyond.)","これはデッキに好きな枚数入れてよい。
<覚醒６>これの撃退力＋3000。（あなたの怪獣カードがエリア６以降にいるなら有効）"
CARD_EBP01-047_NAME,Orga,オルガ
CARD_EBP01-047_DESC,"<Enter> Draw 1 card, then discard 1 card.",<出現時>あなたは１枚引いて手札を１枚捨てる。
CARD_EBP01-048_NAME,Biollante Rose Form,ビオランテ花獣形態
CARD_EBP01-048_DESC,"<Evolution7> <ãBiollanteã> (At the beginning of your main phase, you may play a rank 7 or lower battle card with <ãBiollanteã> from your deck by placing it on top of this card.)",<進化７><《ビオランテ》>（あなたのメインフェイズ開始時、山札から<《ビオランテ》>を持つ等級７以下の交戦カードをこれの上に重ねて出現させてよい）
CARD_EBP01-049_NAME,Destoroyah Aggregate Form,デストロイア集合体
CARD_EBP01-049_DESC,"<Evolution6> <ãDestoroyahã> (At the beginning of your main phase, you may play a rank 6 or lower <ãDestoroyahã> battle card from your deck by placing it on top of this card.)",<進化６><《デストロイア》>（あなたのメインフェイズ開始時、山札から<《デストロイア》>を持つ等級６以下の交戦カードをこれの上に重ねて出現させてよい）
CARD_EBP01-050_NAME,Mothra(larva)(1992),モスラ幼虫(1992)
CARD_EBP01-050_DESC,"<Evolution7> <ãMothraã> (At the beginning of your main phase, you may play a rank 7 or lower <ãMothraã> battle card from your deck by placing it on top of this card.)",<進化７><《モスラ》>（あなたのメインフェイズ開始時、山札から<《モスラ》>を持つ等級７以下の交戦カードをこれの上に重ねて出現させてよい）
CARD_EBP01-051_NAME,Orga Phase II,オルガフェイズⅡ
CARD_EBP01-051_DESC,"If you have 5 or more monster cards in your discard pile, this card gains +3000 counter power.",あなたの捨て札の怪獣カードが５枚以上なら、これの撃退力＋3000。
CARD_EBP01-052_NAME,Megaguirus,メガギラス
CARD_EBP01-052_DESC,"<Awakening4> If this card is in zones 1-5 and you have 5 or more monster cards in your discard pile, this card cannot be <Destroy> by your opponent's effects. (Active if your monster card is in zone 4 or beyond.)",<覚醒４>これがエリア１～５にいて、あなたの捨て札の怪獣カードが５枚以上なら、これは相手の効果で<破壊>されない。（あなたの怪獣カードがエリア４以降にいるなら有効）
CARD_EBP01-053_NAME,Rodan(1993),ラドン(1993)
CARD_EBP01-053_DESC,,
CARD_EBP01-054_NAME,Destoroyah Flying Form,デストロイア飛翔体
CARD_EBP01-054_DESC,"<Evolution8> <ãDestoroyahã> (At the beginning of your main phase, you may play a rank 8 or lower <ãDestoroyahã> battle card from your deck by placing it on top of this card.)
<Enter> If this card was played through evolution, draw 2 cards, then discard 2 cards.","<進化８><《デストロイア》>（あなたのメインフェイズ開始時、山札から<《デストロイア》>を持つ等級８以下の交戦カードをこれの上に重ねて出現させてよい）
<出現時>進化で出現したら、あなたは２枚引いて手札を２枚捨てる。"
CARD_EBP01-055_NAME,Battra(imago),バトラ成虫
CARD_EBP01-055_DESC,"<Enter> Draw 1 card, then discard 1 card.",<出現時>あなたは１枚引いて手札を１枚捨てる。
CARD_EBP01-056_NAME,Super X2,スーパーX2
CARD_EBP01-056_DESC,"If this card is in the same column as your opponent's monster card, this card gains +3000 counter power for each of your opponent's <Rage> .",これが相手の怪獣カードと同じ縦列にいるなら、相手の<怒り>１につき、撃退力＋3000。
CARD_EBP01-057_NAME,Mothra(imago)(1992),モスラ成虫(1992)
CARD_EBP01-057_DESC,"<Enter> Choose 2 battle cards in your zones, you may swap their positions.
Your rank 5 or lower battle cards in zones adjacent to this card gain +3000 counter power.","<出現時>あなたのエリアにいる交戦カードを２枚選び、それらのいるエリアを入れ替えてよい。
これの隣接エリアにいるあなたの等級５以下の交戦カードすべての撃退力＋3000。"
CARD_EBP01-058_NAME,Biollante Plant Beast Form,ビオランテ植獣形態
CARD_EBP01-058_DESC,"If you have a <ãBiollanteã> card with <Evolution> in your discard pile, you can play this from your hand with its rank reduced by 2. (After being played, this card is rank 7.)
<Enter> Return all cards in your discard pile to your deck then shuffle.","あなたの捨て札に<進化>と<《ビオランテ》>を両方持つカードがあるなら、等級を－２して手札から出現できる。（出現後は等級７）
<出現時>あなたの捨て札をすべて山札に戻してシャッフルする。"
CARD_EBP01-059_NAME,Fire Rodan,ファイヤーラドン
CARD_EBP01-059_DESC,"When this card is discarded from your hand by your opponent's effect, and their monster card is in zones 4-8, you may play this card. (Regardless of what zone your opponent's monster card is occupying.)
If this card is in zone 8, this card gains +3000 counter power.","相手の効果でこれを手札から捨てた時、相手の怪獣カードがエリア４～８にいるなら、これを出現させてよい。
これがエリア８にいるなら、撃退力＋3000。"
CARD_EBP01-060_NAME,Destoroyah Perfect Form,デストロイア完全体
CARD_EBP01-060_DESC,"<Enter> If this card was played through evolution, choose up to 1 strategy card named ãGodzilla vs. Destoroyahãin your discard pile.
If you have 1 or fewer strategy cards in play, play and activate the chosen card. (Regardless of rank.)",<出現時>進化で出現したら、あなたの捨て札から「ゴジラVSデストロイア」の戦略カードを１枚まで選ぶ。あなたが置いている戦略カードが１枚以下なら、選んだカードを置いて発動させる。（等級は無視できる）
CARD_EBP01-061_NAME,Scale Attack,鱗粉攻撃
CARD_EBP01-061_DESC,"If your opponent has 5 or more <Rage> , reduce their <Rage> by 3.",相手の<怒り>が５以上なら、それを３減らす。
CARD_EBP01-062_NAME,Godzilla vs. Destoroyah,ゴジラVSデストロイア
CARD_EBP01-062_DESC,"<Your Turn> If you have a <ãDestoroyahã> battle card in your zones, increase your total counter power by +10,000.",<あなたのターン中>あなたのエリアに<《デストロイア》>を持つ交戦カードがいるなら、あなたの撃退力の合計を＋10000。
CARD_EBP01-063_NAME,Guardians Awaken,守護神と破壊神
CARD_EBP01-063_DESC,Evolve all of your rank 4 or lower battle cards with <Evolution> .,あなたの<進化>を持つ等級４以下の交戦カードをすべて進化させる。
CARD_EBP01-064_NAME,Godzilla vs. Megaguirus,ゴジラｘメガギラス G消滅作戦
CARD_EBP01-064_DESC,"Choose one of the following:
ã» <Destroy> 1 of your opponent's rank 4 or lower battle cards.
ã»If you have 4 or more battle cards in your zones, choose 1 of your opponent's zones and <Destroy> all battle cards in that zone and zones adjacent to it.","以下を１つ行う。
・相手の等級４以下の交戦カードを１枚<破壊>する。
・あなたのエリアに交戦カードが４枚以上いるなら、相手のエリア１つを指定し、そのエリアおよび隣接エリアにいる相手の交戦カードをすべて<破壊>する。"
CARD_EBP01-065_NAME,Godzilla vs. Destoroyah,ゴジラVSデストロイア
CARD_EBP01-065_DESC,<Destroy> all of your opponent's battle cards in zones 1-5.,相手のエリア１～５にいる交戦カードをすべて<破壊>する。
CARD_EBP01-066_NAME,Godzilla vs. Biollante,ゴジラVSビオランテ
CARD_EBP01-066_DESC,"When this card is discarded from your hand by your opponent's effect, increase your monster card's <Rage> by 2.
<Opponent's Turn> Your monster card cannot be countered by 40,000 or lower counter power. Instead, it only moves as though it were countered. (Do not play the next monster card from your monster deck.)","相手の効果でこれを手札から捨てた時、あなたの怪獣カードの<怒り>を２増やす。
<相手のターン中>あなたの怪獣カードは撃退力40000以下では撃退されず、その際に撃退されたかのように移動のみ行う。"
CARD_EBP01-067_NAME,Gorosaurus,ゴロザウルス
